field	value	hex_color
country	Argentina	#C50C0C
country	Australia	#0CC5C5
country	Bahrain	#0C88C5
country	Belgium	#0C69C5
country	Bhutan	#0C69C5
country	Botswana	#49C50C
country	Brazil	#C52B0C
country	Bulgaria	#0C49C5
country	Cambodia	#0C49C5
country	Cameroon	#2BC50C
country	Canada	#C5A60C
country	Chile	#C5490C
country	China	#0C2BC5
country	Colombia	#C5690C
country	Czech Republic	#0C2BC5
country	Denmark	#0C0CC5
country	Egypt	#0CC5A6
country	France	#2B0CC5
country	Germany	#490CC5
country	Guatemala	#88C50C
country	Hong Kong	#0C0CC5
country	Hungary	#690CC5
country	India	#2B0CC5
country	Iran	#490CC5
country	Iraq	#690CC5
country	Israel	#880CC5
country	Italy	#880CC5
country	Japan	#A60CC5
country	Kazakhstan	#C50CC5
country	Kenya	#0CC50C
country	Kuwait	#C50CA6
country	Malaysia	#C50C88
country	Mexico	#A6C50C
country	Nepal	#C50C69
country	Nicaragua	#69C50C
country	Nigeria	#0CC52B
country	Pakistan	#C50C49
country	Peru	#C5880C
country	Philippines	#C50C2B
country	Poland	#A60CC5
country	Qatar	#C50CC5
country	Russia	#C50CC5
country	Saudi Arabia	#C50CA6
country	Senegal	#0CC549
country	Serbia	#C50CA6
country	Singapore	#C50C88
country	South Africa	#0CC569
country	South Korea	#C50C69
country	Spain	#C50C88
country	State of Palestine	#C50C49
country	Taiwan	#C50C2B
country	Thailand	#C50CC5
country	Tunisia	#0CC588
country	Turkey	#C50CA6
country	USA	#C5C50C
country	United Kingdom	#C50C69
country	Viet Nam	#C50C88
lineage	1	#C5490C
lineage	3	#C5880C
lineage	6	#0CC50C
lineage	6B	#0CC52B
lineage	6B.1	#0CC549
lineage	6B.1A	#0CC569
lineage	6B.1A.1	#0CC588
lineage	6B.1A.2	#0CC5A6
lineage	6B.1A.3	#0CC5C5
lineage	6B.1A.4	#0CA6C5
lineage	6B.1A.5	#0C88C5
lineage	6B.1A.5a	#0C69C5
lineage	6B.1A.5a.1	#0C49C5
lineage	6B.1A.5a.2	#0C2BC5
lineage	6B.1A.5a.2a	#0C0CC5
lineage	6B.1A.5a.2a.1	#2B0CC5
lineage	6B.1A.5b	#0C88C5
lineage	6B.1A.6	#0CC5C5
lineage	6B.1A.7	#0CC5A6
lineage	6B.2	#0CC549
lineage	6C	#2BC50C
lineage	7	#A6C50C
lineage	8	#88C50C
host_type	Camelus dromedarius	#880CC5
host_type	Homo sapiens	#0C49C5
host_type	Meleagris gallopavo	#0CC50C
host_type	Mustela lutreola	#C50CC5
host_type	Panthera tigris	#C50C88
host_type	Spatula discors	#2BC50C
host_type	Sus scrofa	#C5690C
host_type	Sus scrofa domesticus	#C5880C
host_type	Sus scrofa scrofa	#C5A60C
source	itps	#69C50C
source	ncbi	#C5690C
